Tarih,Sezon,Lig,Ev Sahibi,Deplasman,MS Skor,IY Skor,MS Sonucu,Toplam Gol,KG Var
2024-03-17,2023,Ekstraklasa,Legia Warszawa,Piast Gliwice,3 - 1,2 - 1,1,4,Evet
2024-03-30,2023,Ekstraklasa,Raków Częstochowa,Ruch Chorzów,1 - 1,1 - 0,X,2,Evet
2024-03-30,2023,Ekstraklasa,Jagiellonia,ŁKS Łódź,6 - 0,2 - 0,1,6,Yok
2024-03-30,2023,Ekstraklasa,Piast Gliwice,Slask Wroclaw,2 - 2,0 - 0,X,4,Evet
2024-03-30,2023,Ekstraklasa,Pogon Szczecin,Cracovia Krakow,3 - 1,2 - 1,1,4,Evet
2024-04-01,2023,Ekstraklasa,Puszcza Niepołomice,Radomiak Radom,1 - 1,1 - 0,X,2,Evet
2024-04-01,2023,Ekstraklasa,Stal Mielec,Lech Poznan,0 - 0,0 - 0,X,0,Yok
2024-04-01,2023,Ekstraklasa,Widzew Łódź,Korona Kielce,3 - 1,1 - 0,1,4,Evet
2024-04-01,2023,Ekstraklasa,Gornik Zabrze,Legia Warszawa,1 - 3,0 - 1,2,4,Evet
2024-04-02,2023,Ekstraklasa,Warta Poznań,Zaglebie Lubin,1 - 1,1 - 0,X,2,Evet
2024-04-05,2023,Ekstraklasa,Cracovia Krakow,ŁKS Łódź,2 - 2,1 - 0,X,4,Evet
2024-04-05,2023,Ekstraklasa,Radomiak Radom,Raków Częstochowa,2 - 1,2 - 0,1,3,Evet
2024-04-06,2023,Ekstraklasa,Korona Kielce,Stal Mielec,1 - 0,1 - 0,1,1,Yok
2024-04-06,2023,Ekstraklasa,Ruch Chorzów,Puszcza Niepołomice,0 - 0,0 - 0,X,0,Yok
2024-04-06,2023,Ekstraklasa,Slask Wroclaw,Warta Poznań,2 - 1,1 - 0,1,3,Evet
2024-04-07,2023,Ekstraklasa,Widzew Łódź,Piast Gliwice,1 - 0,0 - 0,1,1,Yok
2024-04-07,2023,Ekstraklasa,Lech Poznan,Pogon Szczecin,1 - 0,0 - 0,1,1,Yok
2024-04-07,2023,Ekstraklasa,Legia Warszawa,Jagiellonia,1 - 1,1 - 0,X,2,Evet
2024-04-08,2023,Ekstraklasa,Zaglebie Lubin,Gornik Zabrze,1 - 2,1 - 1,2,3,Evet
2024-04-12,2023,Ekstraklasa,Warta Poznań,Korona Kielce,1 - 0,1 - 0,1,1,Yok
2024-04-12,2023,Ekstraklasa,Pogon Szczecin,Ruch Chorzów,5 - 0,2 - 0,1,5,Yok
2024-04-13,2023,Ekstraklasa,Stal Mielec,Widzew Łódź,0 - 0,0 - 0,X,0,Yok
2024-04-13,2023,Ekstraklasa,Puszcza Niepołomice,Lech Poznan,2 - 1,2 - 0,1,3,Evet
2024-04-13,2023,Ekstraklasa,Raków Częstochowa,Legia Warszawa,1 - 1,0 - 1,X,2,Evet
2024-04-14,2023,Ekstraklasa,ŁKS Łódź,Radomiak Radom,3 - 2,1 - 0,1,5,Evet
2024-04-14,2023,Ekstraklasa,Jagiellonia,Cracovia Krakow,1 - 3,1 - 2,2,4,Evet
2024-04-14,2023,Ekstraklasa,Gornik Zabrze,Slask Wroclaw,2 - 0,1 - 0,1,2,Yok
2024-04-15,2023,Ekstraklasa,Piast Gliwice,Zaglebie Lubin,2 - 0,2 - 0,1,2,Yok
2024-04-19,2023,Ekstraklasa,Korona Kielce,Radomiak Radom,4 - 0,2 - 0,1,4,Yok
2024-04-19,2023,Ekstraklasa,Raków Częstochowa,Gornik Zabrze,0 - 1,0 - 0,2,1,Yok
2024-04-20,2023,Ekstraklasa,Pogon Szczecin,Piast Gliwice,0 - 2,0 - 2,2,2,Yok
2024-04-20,2023,Ekstraklasa,Ruch Chorzów,Widzew Łódź,2 - 3,0 - 1,2,5,Evet
2024-04-20,2023,Ekstraklasa,Zaglebie Lubin,Jagiellonia,1 - 2,0 - 1,2,3,Evet
2024-04-21,2023,Ekstraklasa,Cracovia Krakow,Puszcza Niepołomice,0 - 1,0 - 1,2,1,Yok
2024-04-21,2023,Ekstraklasa,ŁKS Łódź,Lech Poznan,2 - 3,0 - 1,2,5,Evet
2024-04-21,2023,Ekstraklasa,Legia Warszawa,Slask Wroclaw,0 - 0,0 - 0,X,0,Yok
2024-04-22,2023,Ekstraklasa,Warta Poznań,Stal Mielec,5 - 2,2 - 2,1,7,Evet
2024-04-26,2023,Ekstraklasa,Piast Gliwice,Warta Poznań,2 - 0,1 - 0,1,2,Yok
2024-04-26,2023,Ekstraklasa,Jagiellonia,Pogon Szczecin,2 - 2,2 - 1,X,4,Evet
2024-04-27,2023,Ekstraklasa,Gornik Zabrze,ŁKS Łódź,4 - 1,2 - 0,1,5,Evet
2024-04-27,2023,Ekstraklasa,Slask Wroclaw,Ruch Chorzów,2 - 3,0 - 2,2,5,Evet
2024-04-27,2023,Ekstraklasa,Widzew Łódź,Raków Częstochowa,0 - 1,0 - 0,2,1,Yok
2024-04-28,2023,Ekstraklasa,Radomiak Radom,Zaglebie Lubin,3 - 4,0 - 3,2,7,Evet
